brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
103378.0,for_sale,105000.0,3,2,0.12,1962661.0,Adjuntas,Puerto Rico,00601,920.0,
52707.0,for_sale,80000.0,4,2,0.08,1902874.0,Adjuntas,Puerto Rico,00601,1527.0,
103379.0,for_sale,67000.0,2,1,0.15,1404990.0,Juana Diaz,Puerto Rico,00795,748.0,
31239.0,for_sale,145000.0,4,2,0.1,1947675.0,Ponce,Puerto Rico,00731,1800.0,
34632.0,for_sale,65000.0,6,2,0.05,331151.0,Mayaguez,Puerto Rico,00680,,
103378.0,for_sale,179000.0,4,3,0.46,1850806.0,San Sebastian,Puerto Rico,00612,2520.0,
1205.0,for_sale,50000.0,3,1,0.2,1298094.0,Ciales,Puerto Rico,00639,2040.0,
50739.0,for_sale,71600.0,3,2,0.08,1048466.0,Ponce,Puerto Rico,00731,1050.0,
81909.0,for_sale,100000.0,2,1,0.09,734904.0,Ponce,Puerto Rico,00730,1092.0,
65672.0,for_sale,300000.0,5,3,7.46,1946226.0,Las Marias,Puerto Rico,00670,5403.0,
52707.0,for_sale,89000.0,3,2,13.39,1902814.0,Isabela,Puerto Rico,00662,1106.0,
52707.0,for_sale,150000.0,3,2,0.08,1773902.0,Juana Diaz,Puerto Rico,00795,1045.0,
46019.0,for_sale,155000.0,3,2,0.1,1946165.0,Lares,Puerto Rico,00669,4161.0,
52707.0,for_sale,79000.0,5,2,0.12,1761024.0,Utuado,Puerto Rico,00641,1620.0,
88441.0,for_sale,649000.0,5,5,0.74,1879215.0,Ponce,Puerto Rico,00731,2677.0,
50739.0,for_sale,120000.0,3,2,0.08,17854.0,Yauco,Puerto Rico,00698,1100.0,
51202.0,for_sale,235000.0,4,4,0.22,13687.0,Mayaguez,Puerto Rico,00680,3450.0,
12876.0,for_sale,105000.0,3,2,0.08,1868721.0,Ponce,Puerto Rico,00728,1500.0,
109906.0,for_sale,575000.0,3,2,3.88,1312671.0,San Sebastian,Puerto Rico,00685,4000.0,
46019.0,for_sale,140000.0,6,3,0.25,6710.0,Anasco,Puerto Rico,00610,1230.0,
52707.0,for_sale,50000.0,2,1,0.23,1902835.0,Yauco,Puerto Rico,00698,621.0,
52707.0,for_sale,165000.0,6,3,0.1,117231.0,Moca,Puerto Rico,00676,3000.0,
81909.0,for_sale,189000.0,3,1,2.0,1307740.0,Coamo,Puerto Rico,00769,1213.0,
52707.0,for_sale,115000.0,3,2,,481889.0,Ponce,Puerto Rico,00716,1148.0,
12434.0,for_sale,122500.0,3,2,0.05,437877.0,Yauco,Puerto Rico,00698,1118.0,
52464.0,for_sale,255000.0,3,2,0.28,1948621.0,San Sebastian,Puerto Rico,00685,1500.0,
81495.0,for_sale,425000.0,4,3,0.3,955013.0,Ponce,Puerto Rico,00730,3000.0,
87549.0,for_sale,93000.0,4,2,0.11,1854860.0,Guayanilla,Puerto Rico,00656,1300.0,
92147.0,for_sale,75000.0,4,2,0.04,511838.0,Manati,Puerto Rico,00676,1080.0,
29915.0,for_sale,469000.0,3,2,0.69,1857020.0,Isabela,Puerto Rico,00662,2505.0,
52707.0,for_sale,189000.0,6,3,1.75,1902849.0,Villalba,Puerto Rico,00766,1943.0,
52707.0,for_sale,225000.0,5,4,0.12,1987398.0,Ponce,Puerto Rico,00717,1600.0,
67133.0,for_sale,495000.0,4,2,3.08,1962660.0,Santa Isabel,Puerto Rico,00757,2886.0,
86036.0,for_sale,220000.0,1,1,0.1,523790.0,Ponce,Puerto Rico,00730,850.0,
52707.0,for_sale,70500.0,3,1,0.23,1856955.0,Yauco,Puerto Rico,00698,936.0,
3606.0,for_sale,305000.0,3,2,1.13,1902855.0,Moca,Puerto Rico,00676,1928.0,
109906.0,for_sale,475000.0,4,4,4.84,1940314.0,San Sebastian,Puerto Rico,00685,3690.0,
